6227,Nhữ Khê,Xã,"21 42 05N, 105 10 46E",694,60
648,Đội Bình,Xã,"21 40 54N, 105 12 38E",694,60
7644,Sơn Dương,Thị Trấn,"21 41 33N, 105 23 59E",497,60
10018,Trung Yên,Xã,"21 49 02N, 105 27 12E",497,60
5418,Minh Thanh,Xã,"21 46 46N, 105 24 03E",497,60
8406,Tân Trào,Xã,"21 46 38N, 105 28 05E",497,60
10506,Vĩnh Lợi,Xã,"21 44 47N, 105 16 45E",497,60
9270,Thượng ấm,Xã,"21 43 50N, 105 19 29E",497,60
1771,Bình Yên,Xã,"21 44 42N, 105 26 11E",497,60
4630,Lương Thiện,Xã,"21 44 04N, 105 28 17E",497,60
9635,Tú Thịnh,Xã,"21 43 25N, 105 22 03E",497,60
2425,Cấp Tiến,Xã,"21 42 25N, 105 16 55E",497,60
3692,Hợp Thành,Xã,"21 40 54N, 105 28 07E",497,60
7076,Phúc ứng,Xã,"21 39 54N, 105 22 04E",497,60
199,Đông Thọ,Xã,"21 39 44N, 105 17 17E",497,60
4273,Kháng Nhật,Xã,"21 39 14N, 105 27 16E",497,60
3686,Hợp Hòa,Xã,"21 37 24N, 105 26 25E",497,60
9117,Thanh Phát,Xã,"21 37 32N, 105 21 14E",497,60
7568,Quyết Thắng,Xã,"21 38 04N, 105 14 48E",497,60
570,Đồng Quý,Xã,"21 37 27N, 105 17 33E",497,60
10067,Tuân Lộ,Xã,"21 36 03N, 105 24 43E",497,60
10206,Vân Sơn,Xã,"21 35 56N, 105 15 22E",497,60
10144,Văn Phú,Xã,"21 36 06N, 105 17 34E",497,60
2552,Chi Thiết,Xã,"21 35 48N, 105 18 23E",497,60
138,Đông Lợi,Xã,"21 35 29N, 105 20 14E",497,60
9311,Thiện Kế,Xã,"21 35 19N, 105 29 09E",497,60
3467,Hồng Lạc,Xã,"21 34 44N, 105 16 36E",497,60
6871,Phú Lương,Xã,"21 33 09N, 105 22 52E",497,60
6365,Ninh Lai,Xã,"21 33 18N, 105 30 30E",497,60
420,Đại Phú,Xã,"21 32 16N, 105 25 26E",497,60
7703,Sơn Nam,Xã,"21 32 44N, 105 27 47E",497,60
3297,Hào Phú,Xã,"21 32 54N, 105 18 44E",497,60
8555,Tam Đa,Xã,"21 32 26N, 105 20 45E",497,60
7781,Sầm Dương,Xã,"21 32 36N, 105 17 20E",497,60
4585,Lâm Xuyên,Xã,"21 31 07N, 105 18 56E",497,60
2864,Duyên Hải,Phường,"22 30 00N, 103 57 21E",329,36
4638,Lào Cai,Phường,"22 30 37N, 103 58 59E",329,36
6569,Phố Mới,Phường,"22 29 55N, 103 59 08E",329,36
2309,Cốc Lếu,Phường,"22 29 45N, 103 58 03E",329,36
4451,Kim Tân,Phường,"22 48 47N, 103 58 25E",329,36
1877,Bắc Lệnh,Phường,"22 25 56N, 104 00 31E",329,36
7179,Pom Hán,Phường,"22 24 59N, 104 00 56E",329,36
